condition,environment,run,n_train,n_test,states,state_by_mean,test_observations,occupancy,miss_rate,mean_response_ns
interference,container,docker_cpu3-interf_io-run10,70000,30001,3,2,2031,0.06769774340855304,1.0,1073314600.5598228
interference,container,docker_cpu3-interf_io-run10,70000,30001,4,0,13466,0.44885170494316856,0.0,598562.8736818654
interference,container,docker_cpu3-interf_io-run10,70000,30001,4,1,13468,0.4489183693876871,0.0,598726.9155776656
interference,container,docker_cpu3-interf_io-run10,70000,30001,4,2,1062,0.03539882003933202,0.9896421845574388,165300864.26741996
interference,container,docker_cpu3-interf_io-run10,70000,30001,4,3,2005,0.06683110562981234,1.0,1081886382.6453865
interference,container,docker_cpu3-interf_io-run10,70000,30001,5,0,13466,0.44885170494316856,0.0,598562.8736818654
interference,container,docker_cpu3-interf_io-run10,70000,30001,5,1,13468,0.4489183693876871,0.0,598726.9155776656
interference,container,docker_cpu3-interf_io-run10,70000,30001,5,2,745,0.02483250558314723,0.9852348993288591,99109543.86845638
interference,container,docker_cpu3-interf_io-run10,70000,30001,5,3,910,0.030332322255924804,1.0,507177023.4351648
interference,container,docker_cpu3-interf_io-run10,70000,30001,5,4,1412,0.04706509783007233,1.0,1281419273.0509915
interference,host,host_cpu3-interf_io-run1,70000,30001,2,0,29892,0.9963667877737409,0.0,595265.6941322093
interference,host,host_cpu3-interf_io-run1,70000,30001,2,1,109,0.0036332122262591245,0.009174311926605505,681534.9633027522
interference,host,host_cpu3-interf_io-run1,70000,30001,3,0,29846,0.994833505549815,0.0,595259.5903973732
interference,host,host_cpu3-interf_io-run1,70000,30001,3,1,150,0.004999833338888704,0.0,618816.5266666666
interference,host,host_cpu3-interf_io-run1,70000,30001,3,2,5,0.00016666111129629013,0.2,1805845.1999999997
interference,host,host_cpu3-interf_io-run1,70000,30001,4,0,27828,0.9275690810306323,0.0,595107.885367256
interference,host,host_cpu3-interf_io-run1,70000,30001,4,1,2087,0.0695643478550715,0.0,597430.3670340201
interference,host,host_cpu3-interf_io-run1,70000,30001,4,2,78,0.002599913336222126,0.0,639002.4358974359
interference,host,host_cpu3-interf_io-run1,70000,30001,4,3,8,0.0002666577780740642,0.125,1328480.0
interference,host,host_cpu3-interf_io-run1,70000,30001,5,0,27833,0.9277357421419286,0.0,595108.0365393597
interference,host,host_cpu3-interf_io-run1,70000,30001,5,1,2084,0.06946435118829372,0.0,597431.4462571976
interference,host,host_cpu3-interf_io-run1,70000,30001,5,2,76,0.00253324889170361,0.0,640164.2763157894
interference,host,host_cpu3-interf_io-run1,70000,30001,5,3,6,0.00019999333355554815,0.0,645353.8333333335
interference,host,host_cpu3-interf_io-run1,70000,30001,5,4,2,6.666444451851606e-05,0.5,3377858.499999999
interference,host,host_cpu3-interf_io-run9,70000,30001,2,0,29665,0.9888003733208893,0.0,605586.4390696107
interference,host,host_cpu3-interf_io-run9,70000,30001,2,1,336,0.011199626679110695,0.9702380952380952,67816215.11904761
