condition,environment,run,states,n,median_inter_release_ns,from_state,to_state,count,observed_probability,model_probability
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,1,3,0,0.0,2.088268212448723e-21
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,2,0,51,0.03571428571428571,0.03398318319877578
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,2,1,19,0.01330532212885154,0.0149636970633131
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,2,2,1358,0.9509803921568627,0.9510531197379111
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,2,3,0,0.0,2.070402882776012e-65
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,3,0,0,0.0,0.0
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,3,1,0,0.0,0.0
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,3,2,7,0.00423728813559322,0.004240803395765673
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,3,3,1645,0.9957627118644068,0.9957591966042344
interference,host,host_cpu3-interf_io-run9,4,100001,5000000.0,0,0,62266,0.8312329791210552,0.7767728629545743
interference,host,host_cpu3-interf_io-run9,4,100001,5000000.0,0,1,12597,0.16816628397500935,0.22262687249699498
interference,host,host_cpu3-interf_io-run9,4,100001,5000000.0,0,2,41,0.000547338068030117,0.0005413690083167396
interference,host,host_cpu3-interf_io-run9,4,100001,5000000.0,0,3,4,5.3398835905377265e-05,5.889554011411085e-05
interference,host,host_cpu3-interf_io-run9,4,100001,5000000.0,1,0,12598,0.5546603266851583,0.5093688400581692
interference,host,host_cpu3-interf_io-run9,4,100001,5000000.0,1,1,10097,0.4445471756262933,0.4898818460060122
interference,host,host_cpu3-interf_io-run9,4,100001,5000000.0,1,2,18,0.0007924976885484084,0.00074931393581852
interference,host,host_cpu3-interf_io-run9,4,100001,5000000.0,1,3,0,0.0,4.3375173124705507e-41
interference,host,host_cpu3-interf_io-run9,4,100001,5000000.0,2,0,45,0.0297029702970297,0.02663323416661037
interference,host,host_cpu3-interf_io-run9,4,100001,5000000.0,2,1,18,0.011881188118811881,0.014942875825104104
