condition,environment,run,states,n,median_inter_release_ns,state_by_mean,dwell_activations,dwell_us,miss_rate,mean_response_ns
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,30,150000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,31,155000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,34,170000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,2,10000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,29,145000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,13,65000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,32,160000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,34,170000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,24,120000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,48,240000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,7,35000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,36,180000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,35,175000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,50,250000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,25,125000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,22,110000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,43,215000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,9,45000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,35,175000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,4,20000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,25,125000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,47,235000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,3,50,250000.0,1.0,1078935917.691202
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,93,465000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,3,310,1550000.0,1.0,1078935917.691202
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,93,465000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,37,185000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,31,155000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,2,10000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,31,155000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,7,35000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,21,105000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,3,391,1955000.0,1.0,1078935917.691202
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,93,465000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,3,257,1285000.0,1.0,1078935917.691202
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,93,465000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,56,280000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,3,294,1470000.0,1.0,1078935917.691202
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,93,465000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,32,160000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,22,110000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,7,35000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,3,15000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,3,92,460000.0,1.0,1078935917.691202
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,92,460000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,89,445000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,16,80000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,15,75000.0,0.9820580474934036,125049239.43482848
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,9,45000.0,0.9820580474934036,125049239.43482848
