condition,environment,run,sensitivity,order_gmm,order_hmm,train_bic_gmm,train_bic_hmm,test_loglik_per_obs_gmm,test_loglik_per_obs_hmm,temporal_gain_per_obs_gmm,temporal_gain_per_obs_hmm,n_train_gmm,n_train_hmm,n_test_gmm,n_test_hmm,kept_fraction_gmm,kept_fraction_hmm,run_number,hmm_minus_gmm_test_loglik_per_obs,hmm_wins
interference,container,docker_cpu3-interf_io-run6,train_q_0.9995,4.0,5.0,178309.87529848423,151205.07653796373,-1.2410137350938153,-1.0703802488934284,0.0,0.2339021684786027,68224.0,68224.0,28954.0,28954.0,0.971770282297177,0.971770282297177,6,0.17063348620038687,True
interference,container,docker_cpu3-interf_io-run6,train_q_0.9999,5.0,5.0,167587.93956305948,140792.9455678854,-1.1590946405506688,-0.9877977480589452,0.0,0.26742523044544225,68252.0,68252.0,28958.0,28958.0,0.972090279097209,0.972090279097209,6,0.17129689249172364,True
interference,container,docker_cpu3-interf_io-run7,base_stable,5.0,5.0,-166913.68112375546,-209723.92379076083,1.3015793085569967,1.6181849771870052,0.0,0.8135603780917486,66099.0,66099.0,28487.0,28487.0,0.945850541494585,0.945850541494585,7,0.3166056686300085,True
interference,container,docker_cpu3-interf_io-run7,cap_1000us,5.0,5.0,74501.91944319475,31375.472345649385,-0.5433248093190783,-0.19937172347690535,0.0,0.7910014355301325,66098.0,66098.0,28487.0,28487.0,0.9458405415945841,0.9458405415945841,7,0.343953085842173,True
interference,container,docker_cpu3-interf_io-run7,cap_1500us,5.0,5.0,74501.91944319475,31375.472345649385,-0.5433248093190783,-0.19937172347690535,0.0,0.790532061902019,66098.0,66098.0,28487.0,28487.0,0.9458405415945841,0.9458405415945841,7,0.343953085842173,True
interference,container,docker_cpu3-interf_io-run7,cap_2000us,5.0,5.0,74501.91944319475,31375.472345649385,-0.5433248093190783,-0.19937172347690535,0.0,0.7881601451264318,66098.0,66098.0,28487.0,28487.0,0.9458405415945841,0.9458405415945841,7,0.343953085842173,True
interference,container,docker_cpu3-interf_io-run7,cap_2500us,5.0,5.0,-166913.68112375546,-209723.92379076083,1.3015793085569967,1.6181849771870052,0.0,0.8133361709125821,66099.0,66099.0,28487.0,28487.0,0.945850541494585,0.945850541494585,7,0.3166056686300085,True
interference,container,docker_cpu3-interf_io-run7,train_q_0.999,4.0,5.0,85675.11961890165,37733.31675654374,-0.6078352902233726,-0.27285051640664865,0.0,0.8085804802859571,66032.0,66032.0,28471.0,28471.0,0.945020549794502,0.945020549794502,7,0.3349847738167239,True
interference,container,docker_cpu3-interf_io-run7,train_q_0.9995,4.0,5.0,84725.45152422512,36764.10925172975,-0.5987634288732778,-0.2642467909733702,0.0,0.8066974705294361,66065.0,66065.0,28478.0,28478.0,0.945420545794542,0.945420545794542,7,0.3345166378999076,True
interference,container,docker_cpu3-interf_io-run7,train_q_0.9999,4.0,5.0,83404.62077428246,35479.77202818426,-0.587293709089283,-0.25422424424547113,0.0,0.8027662950510158,66092.0,66092.0,28486.0,28486.0,0.945770542294577,0.945770542294577,7,0.3330694648438119,True
interference,container,docker_cpu3-interf_io-run8,base_stable,5.0,5.0,13219.474281282659,-31554.951032014735,-0.018587046863622017,0.30320508390861,0.0,0.8590419048757313,66522.0,66522.0,28222.0,28222.0,0.9474305256947431,0.9474305256947431,8,0.321792130772232,True
interference,container,docker_cpu3-interf_io-run8,cap_1000us,5.0,5.0,13219.474281282659,-31554.951032014735,-0.018587046863622017,0.30320508390861,0.0,0.8584984410795897,66522.0,66522.0,28222.0,28222.0,0.9474305256947431,0.9474305256947431,8,0.321792130772232,True
interference,container,docker_cpu3-interf_io-run8,cap_1500us,5.0,5.0,13219.474281282659,-31554.951032014735,-0.018587046863622017,0.30320508390861,0.0,0.8576268504394635,66522.0,66522.0,28222.0,28222.0,0.9474305256947431,0.9474305256947431,8,0.321792130772232,True
interference,container,docker_cpu3-interf_io-run8,cap_2000us,5.0,5.0,13219.474281282659,-31554.951032014735,-0.018587046863622017,0.30320508390861,0.0,0.8571075157730476,66522.0,66522.0,28222.0,28222.0,0.9474305256947431,0.9474305256947431,8,0.321792130772232,True
