condition,environment,run,sensitivity,model,n_total,n_kept,kept_fraction,n_train,n_test,train_segments,test_segments,standardization_center_log_ns,standardization_scale_log_ns,reason,order,train_loglik,test_loglik,scored_test_observations,parameters_count,train_bic,test_loglik_per_obs,shuffled_test_loglik_mean,shuffled_test_loglik_sd,temporal_gain_per_obs,parameters
interference,container,docker_cpu3-interf_io-run2,cap_1000us,gaussian_gmm,100001,99942,0.999410005899941,69967,29975,15,6,13.304377579912703,0.004457170051220907,,4,-2821.5691827590244,-4836.664012020492,29975,11,5765.851934312378,-0.16135659756532084,-4836.664012020492,0.0,0.0,"component_0_mean=-0.097125845,weight=0.8075462;component_1_mean=0.27260738,weight=0.19067109;component_2_mean=10.061835,weight=0.0015649037;component_3_mean=49.17058,weight=0.00021780211"
interference,container,docker_cpu3-interf_io-run2,cap_1000us,gaussian_hmm,100001,99942,0.999410005899941,69967,29975,15,6,13.304377579912703,0.004457170051220907,,5,2331.129831928652,-1777.277703960343,29975,34,-4282.9631784930125,-0.05929200013212153,-6391.595826535392,30.343376186706262,0.15393888649124432,state_0_mean=-0.23322371;state_1_mean=-0.029661514;state_2_mean=0.36116346;state_3_mean=11.675129;state_4_mean=66.031745
interference,container,docker_cpu3-interf_io-run2,cap_1500us,gaussian_gmm,100001,99946,0.999450005499945,69970,29976,12,5,13.304407765863774,0.006421064653805222,,4,22663.78040257695,6171.539089059677,29976,11,-45204.846764718764,0.20588267577594332,6171.539089059677,0.0,0.0,"component_0_mean=-0.061611286,weight=0.90097074;component_1_mean=0.33406361,weight=0.097232108;component_2_mean=7.2467672,weight=0.0015589845;component_3_mean=49.253695,weight=0.00023816809"
interference,container,docker_cpu3-interf_io-run2,cap_1500us,gaussian_hmm,100001,99946,0.999450005499945,69970,29976,12,5,13.304407765863774,0.006421064653805222,,4,24273.30840045886,7227.32986636656,29976,23,-48290.032898189704,0.24110387864847077,4622.693401846225,48.82271376949954,0.08689072806646433,state_0_mean=-0.10352277;state_1_mean=0.10056856;state_2_mean=4.9488838;state_3_mean=55.061541
interference,container,docker_cpu3-interf_io-run2,cap_2000us,gaussian_gmm,100001,99949,0.999480005199948,69973,29976,9,5,13.304454188762753,0.009567747366521039,,5,50527.56468642769,18125.365078121868,29976,14,-100898.94726660264,0.6046625659901878,18125.365078121868,0.0,0.0,"component_0_mean=-0.046198385,weight=0.90093899;component_1_mean=0.21934472,weight=0.097221161;component_2_mean=4.8592912,weight=0.0015588955;component_3_mean=33.104549,weight=0.00023822323;component_4_mean=113.1766,weight=4.2725955e-05"
interference,container,docker_cpu3-interf_io-run2,cap_2000us,gaussian_hmm,100001,99949,0.999480005199948,69973,29976,9,5,13.304454188762753,0.009567747366521039,,5,52137.7007349425,19181.576076670386,29976,34,-103896.10206898548,0.6398977874523081,16570.638538471805,40.775420552762014,0.08710093201890115,state_0_mean=-0.074319735;state_1_mean=0.06270443;state_2_mean=3.3176585;state_3_mean=37.028462;state_4_mean=113.17897
interference,container,docker_cpu3-interf_io-run2,cap_2500us,gaussian_gmm,100001,99952,0.999510004899951,69976,29976,6,5,13.30451295661026,0.013122270734029596,,4,72582.06794134609,27593.182964294065,29976,11,-145041.42089903608,0.9205091728147206,27593.182964294065,0.0,0.0,"component_0_mean=-0.038152624,weight=0.90099728;component_1_mean=0.15555558,weight=0.097121799;component_2_mean=3.6146148,weight=0.0015806367;component_3_mean=45.137128,weight=0.00030028892"
interference,container,docker_cpu3-interf_io-run2,cap_2500us,gaussian_hmm,100001,99952,0.999510004899951,69976,29976,6,5,13.30451295661026,0.013122270734029596,,5,74954.51003856189,29683.036639482092,29976,34,-149529.7192185504,0.9902267360382336,25403.8027870139,70.50863033436072,0.14275533268175175,state_0_mean=-0.065164739;state_1_mean=0.0068676964;state_2_mean=0.1558011;state_3_mean=4.7151472;state_4_mean=53.369118
interference,container,docker_cpu3-interf_io-run2,train_q_0.999,gaussian_gmm,100001,99849,0.998480015199848,69908,29941,72,40,13.304279068762725,0.001430523569630673,,5,-81224.30238467571,-38227.81142869519,29941,14,162604.77386454382,-1.276771364640299,-38227.81142869519,0.0,0.0,"component_0_mean=-0.83352961,weight=0.24892204;component_1_mean=-0.16480774,weight=0.45261737;component_2_mean=0.5919752,weight=0.22278281;component_3_mean=1.8245607,weight=0.074662638;component_4_mean=13.76189,weight=0.0010151459"
interference,container,docker_cpu3-interf_io-run2,train_q_0.999,gaussian_hmm,100001,99849,0.998480015199848,69908,29941,72,40,13.304279068762725,0.001430523569630673,,5,-73413.53999716332,-33116.74392496851,29941,34,147206.34779693675,-1.1060667287321235,-41298.48154143205,53.03684398743783,0.27326200248700894,state_0_mean=-0.76906733;state_1_mean=-0.18405173;state_2_mean=0.41732217;state_3_mean=1.0442653;state_4_mean=5.8490822
