condition,environment,run,view,n_total,n_kept,kept_fraction,n_train,n_test,train_segments,test_segments,standardization_center_log_ns,standardization_scale_log_ns,reason,model,order,train_loglik,test_loglik,scored_test_observations,parameters_count,train_bic,test_loglik_per_obs,shuffled_test_loglik_mean,shuffled_test_loglik_sd,temporal_gain_per_obs,parameters
interference,host,host_cpu3-interf_io-run4,cap_1000us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_hmm,4,-13690.315951494209,-5732.767649749161,29602,23,27637.099806960658,-0.1936614975254767,-6160.087307479191,13.019775732358275,0.014435499551720478,state_0_mean=-0.31379527;state_1_mean=0.27199781;state_2_mean=14.42814;state_3_mean=94.99481
interference,host,host_cpu3-interf_io-run4,cap_1000us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_gmm,5,-9675.040144241191,-3441.988280156501,29602,14,19506.19118655244,-0.11627553138830149,-3441.988280156501,0.0,0.0,"component_0_mean=-0.32107274,weight=0.49547271;component_1_mean=0.058218342,weight=0.3661137;component_2_mean=0.84198082,weight=0.13720877;component_3_mean=15.621227,weight=0.0011617235;component_4_mean=94.99481,weight=4.3092303e-05"
interference,host,host_cpu3-interf_io-run4,cap_1000us,100001,99220,0.992190078099219,69618,29602,22,17,13.311115607598165,0.003060424226006044,,gaussian_hmm,5,-13678.54123626467,-5729.530371974584,29602,34,27736.20893927091,-0.1935521374222885,-6168.615732667392,8.414549291025997,0.014832962661063698,state_0_mean=-0.31379534;state_1_mean=0.27195957;state_2_mean=6.5738555;state_3_mean=21.501368;state_4_mean=94.99481
interference,host,host_cpu3-interf_io-run4,train_q_0.999,100001,99135,0.991340086599134,69550,29585,80,30,13.311049150992142,0.0013029517367171982,,iid_gaussian,1,-98686.67498438498,-42219.854314753065,29585,2,197395.64957116466,-1.427069606718035,-42219.854314753065,0.0,0.0,mean=-3.0206209e-13;sd=1
interference,host,host_cpu3-interf_io-run4,train_q_0.999,100001,99135,0.991340086599134,69550,29585,80,30,13.311049150992142,0.0013029517367171982,,ar1_gaussian,1,,-42093.85552859152,29555,3,,-1.4242549662862973,,,,intercept=-0.00074181491;phi=0.050415711;sd=0.99718875
interference,host,host_cpu3-interf_io-run4,train_q_0.999,100001,99135,0.991340086599134,69550,29585,80,30,13.311049150992142,0.0013029517367171982,,gaussian_gmm,2,-72695.58719356846,-31313.169366357753,29585,5,145446.92339312367,-1.0584137017528394,-31313.169366357753,0.0,0.0,"component_0_mean=-0.67799596,weight=0.51437046;component_1_mean=0.71812167,weight=0.48562954"
interference,host,host_cpu3-interf_io-run4,train_q_0.999,100001,99135,0.991340086599134,69550,29585,80,30,13.311049150992142,0.0013029517367171982,,gaussian_hmm,2,-72475.98640490882,-30807.21506510752,29585,7,145030.0214181991,-1.0413119846242191,-31211.270706629548,14.483414248584285,0.013657449434579251,state_0_mean=-0.68581418;state_1_mean=0.69206088
interference,host,host_cpu3-interf_io-run4,train_q_0.999,100001,99135,0.991340086599134,69550,29585,80,30,13.311049150992142,0.0013029517367171982,,gaussian_gmm,3,-68463.27416725692,-28460.727464817533,29585,8,137015.74674409267,-0.961998562272014,-28460.727464817533,0.0,0.0,"component_0_mean=-0.704169,weight=0.49363795;component_1_mean=0.17290401,weight=0.36259202;component_2_mean=1.9817129,weight=0.14377003"
interference,host,host_cpu3-interf_io-run4,train_q_0.999,100001,99135,0.991340086599134,69550,29585,80,30,13.311049150992142,0.0013029517367171982,,gaussian_hmm,3,-66897.18916514871,-27521.706114829576,29585,14,133950.47554706034,-0.9302587836683988,-30390.204532748256,52.21069512605242,0.09695786438798984,state_0_mean=-0.80929684;state_1_mean=-0.51818464;state_2_mean=0.79557994
interference,host,host_cpu3-interf_io-run4,train_q_0.999,100001,99135,0.991340086599134,69550,29585,80,30,13.311049150992142,0.0013029517367171982,,gaussian_gmm,4,-67607.1712513933,-27952.733136627357,29585,11,135336.99031595746,-0.9448278903710448,-27952.733136627357,0.0,0.0,"component_0_mean=-0.72997515,weight=0.45498107;component_1_mean=-0.23936549,weight=0.22537153;component_2_mean=0.55749857,weight=0.17187429;component_3_mean=1.9641691,weight=0.14777311"
