condition,environment,run,n,period_ns,deadline_ns,baseline_response_ns,expected_recovery_slope_ns_per_activation,delta_mad_ns,shock_threshold_ns,shock_job_index,shock_release_ns,response_before_ns,response_after_ns,shock_amplitude_ns,is_deadline_miss_after_shock
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,90603,91450429726762,598550.0,1856959296.0,1856360746.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,91551,91455169726762,598643.0,269942158.0,269343515.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,93596,91465394726762,598326.0,87544136.0,86945810.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,94657,91470699726762,598449.0,119235043.0,118636594.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,95718,91476004726762,598474.0,1708790296.0,1708191822.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,96746,91481144726762,598479.0,161370992.0,160772513.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,98792,91491374726762,598464.0,28971054.0,28372590.0,True
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,2030,76403664675596,599774.0,1805790.0,1206016.0,False
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,18789,76487459675596,598419.0,2469088.0,1870669.0,False
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,32215,76554589675596,598823.0,7810104.0,7211281.0,True
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,43062,76608824675596,599089.0,2878594.0,2279505.0,False
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,44958,76618304675596,600486.0,5912253.0,5311767.0,True
