condition,environment,run,n,period_ns,deadline_ns,baseline_response_ns,expected_recovery_slope_ns_per_activation,delta_mad_ns,shock_threshold_ns,episode_id,start_index,end_index,peak_index,start_release_ns,end_release_ns,activations,duration_us,peak_response_ns,onset_jump_ns,shocks_inside_episode,recovery_activations,observed_recovery_slope_ns_per_activation,recovery_slope_error_ns,recovery_r2,fraction_recovery_steps_near_expected,excess_latency_area_ns
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,56,95718,96105,95718,91476004726762,91477939726762,388,1940000.0,1708790296.0,1708191822.0,1,388,-4398728.791020118,2780.2089798823,0.9999999999789458,1.0,331597609783.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,57,96746,96782,96746,91481144726762,91481324726762,37,185000.0,161370992.0,160772513.0,1,37,-4398826.328828826,2682.6711711743847,0.9999999997856545,1.0,2930080772.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,58,98792,98797,98792,91491374726762,91491399726762,6,30000.0,28971054.0,28372590.0,1,6,-4398834.457142856,2674.542857144028,0.999999993472783,1.0,89845708.0
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,1,32215,32216,32215,76554589675596,76554594675596,2,10000.0,7810104.0,7211281.0,1,2,-4397470.000000001,2891.9999999990687,1.0,1.0,5222738.0
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,2,44958,44958,44958,76618304675596,76618304675596,1,5000.0,5912253.0,5311767.0,1,1,,,,,2912253.0
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,3,69382,69382,69382,76740424675596,76740424675596,1,5000.0,4557943.0,3958315.0,1,1,,,,,1557943.0
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,4,94261,94261,94261,76864819675596,76864819675596,1,5000.0,4199150.0,3600008.0,1,1,,,,,1199150.0
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,5,97371,97372,97371,76880369675596,76880374675596,2,10000.0,8572024.0,7973375.0,1,2,-4400190.000000001,171.99999999906868,1.0,1.0,6743858.0
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,6,99040,99042,99040,76888714675596,76888724675596,3,15000.0,14524366.0,13924047.0,1,3,-4398599.499999998,1762.5000000018626,0.9999999652847191,1.0,21375880.0
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,1,14314,14327,14314,78068115100654,78068180100654,14,70000.0,62561046.0,61957922.0,1,14,-4391599.670329671,5012.329670328647,0.9999999897359252,1.0,434295070.0
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,2,18333,18341,18333,78088210100654,78088250100654,9,45000.0,40706503.0,40103328.0,1,9,-4391302.550000001,5309.449999999255,0.9999999684606385,1.0,181312380.0
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,3,23415,23416,23415,78113620100654,78113625100654,2,10000.0,7849698.0,7246494.0,1,2,-4386150.999999999,10461.000000000931,1.0,1.0,5313245.0
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,4,35248,35248,35248,78172785100654,78172785100654,1,5000.0,5755894.0,5152037.0,1,1,,,,,2755894.0
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,5,47612,47612,47612,78234605100654,78234605100654,1,5000.0,7138945.0,6535928.0,1,1,,,,,4138945.0
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,6,47915,47934,47915,78236120100654,78236215100654,20,100000.0,89658575.0,89055375.0,1,20,-4391690.918796992,4921.081203008071,0.9999999986086106,1.0,898805116.0
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,7,56031,56031,56031,78276700100654,78276700100654,1,5000.0,3228309.0,2625212.0,1,1,,,,,228309.0
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,8,96763,96763,96763,78480360100654,78480360100654,1,5000.0,4521548.0,3918436.0,1,1,,,,,1521548.0
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,9,97901,97901,97901,78486050100654,78486050100654,1,5000.0,4415136.0,3811584.0,1,1,,,,,1415136.0
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,1,1102,1130,1102,79096683074299,79096823074299,29,145000.0,126316723.0,125713645.0,1,29,-4391891.502463055,4964.497536945157,0.999999999692541,1.0,1793049807.0
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,2,2106,2148,2106,79101703074299,79101913074299,43,215000.0,189645974.0,189042946.0,1,43,-4391839.0463606175,5016.9536393824965,0.9999999996854623,1.0,4060135433.0
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,3,3108,3152,3108,79106713074299,79106933074299,45,225000.0,197097988.0,196494935.0,1,45,-4391883.353491435,4972.646508565173,0.9999999998662947,1.0,4386412998.0
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,4,4265,4296,4265,79112498074299,79112653074299,32,160000.0,141934375.0,141331193.0,1,32,-4391849.374083574,5006.62591642607,0.9999999997400739,1.0,2267524547.0
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,5,6427,6461,6427,79123308074299,79123478074299,35,175000.0,154186920.0,153583778.0,1,35,-4391673.557142856,5182.4428571444005,0.9999999994976055,1.0,2678535104.0
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,6,6658,6668,6658,79124463074299,79124513074299,11,55000.0,48334861.0,47731774.0,1,11,-4391261.163636362,5594.83636363782,0.9999999955355712,1.0,257176509.0
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,7,8435,8495,8435,79133348074299,79133648074299,61,305000.0,269111797.0,268508646.0,1,61,-4391900.537810682,4955.462189317681,0.9999999999189122,1.0,8195637374.0
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,8,9513,9541,9513,79138738074299,79138878074299,29,145000.0,126508499.0,125905231.0,1,29,-4391842.622167487,5013.377832513303,0.9999999996717738,1.0,1798685219.0
